,Yourself,workstat,age,divorce,widowed,educ,Total no of Children,income,region convert,attend convert,owngun convert,tvhours converted,vhappy,mothfath16,black,female,blackfemale,occattend,regattend,unem10,happy
1,1,1,46,2,0,12,5,3,2,2,2,2,0,1,1,1,1,1,0,1,1
2,1,8,22,0,0,12,0,7,2,5,2,3,1,0,1,0,0,0,0,0,1
3,1,8,29,0,0,12,0,4,2,6,0,1,0,0,1,1,1,0,1,2,1
4,1,8,42,1,0,8,0,4,2,1,2,3,0,0,0,0,0,0,0,1,0
5,1,9,36,2,0,13,2,3,2,1,0,1,0,0,1,1,1,0,0,0,0
6,1,9,43,2,0,15,0,6,2,2,0,0,0,0,1,1,1,1,0,2,1
7,1,8,20,0,0,9,2,5,2,6,0,10,0,1,0,1,0,0,1,2,0
8,1,8,44,2,0,12,0,3,2,6,2,4,1,1,1,0,0,0,1,0,1
9,1,8,42,0,0,12,3,6,2,2,0,2,0,0,1,1,1,1,0,2,1
10,1,8,46,2,0,12,1,4,2,6,0,1,0,1,1,1,1,0,1,1,1
11,1,8,30,2,0,0,0,7,2,2,2,2,0,0,0,1,0,1,0,1,1
12,1,8,75,2,0,19,0,6,2,1,2,2,0,1,0,1,0,0,0,0,1
13,1,8,51,0,0,16,0,6,2,2,2,2,1,1,0,0,0,1,0,0,1
14,1,8,50,0,0,16,0,6,2,5,0,1,1,1,0,0,0,0,0,0,1
15,1,8,73,2,0,18,0,6,2,3,0,1,0,1,0,0,0,1,0,2,1
16,1,8,41,2,0,16,0,6,2,1,0,1,0,1,0,1,0,0,0,2,1
17,1,8,64,0,0,18,2,6,2,2,2,0,0,1,0,1,0,1,0,0,1
18,1,1,59,0,0,16,2,6,2,1,0,3,1,0,0,1,0,0,0,2,1
19,1,4,35,2,0,12,0,7,2,2,1,3,0,1,0,0,0,1,0,2,0
20,1,9,46,0,0,16,0,6,2,0,0,2,0,1,0,0,0,0,0,2,1
21,1,9,47,2,0,16,0,3,2,6,0,3,0,0,0,0,0,0,1,2,1
22,1,9,74,2,0,20,0,6,2,0,0,1,0,1,0,0,0,0,0,0,0
23,1,8,44,2,0,12,0,6,2,0,0,4,0,1,0,0,0,0,0,2,1
24,1,4,52,2,0,16,0,7,2,0,0,1,0,1,0,0,0,0,0,1,1
25,1,8,74,2,0,16,0,6,2,0,2,1,0,1,0,0,0,0,0,0,1
26,1,8,44,1,0,8,0,7,2,0,0,4,0,0,0,0,0,0,0,2,1
27,1,3,0,2,0,12,0,2,2,5,2,4,0,0,0,1,0,0,0,0,1
28,1,1,0,2,0,8,0,1,2,1,2,8,0,1,1,1,1,0,0,1,0
29,1,1,0,0,0,12,1,6,2,5,0,2,0,1,0,1,0,0,0,2,1
30,1,8,64,2,0,17,1,7,2,4,0,2,0,0,1,1,1,1,0,2,1
31,1,1,41,1,0,13,0,3,2,1,2,2,0,0,1,1,1,0,0,0,1
32,1,8,42,2,0,12,0,6,2,1,2,2,0,0,0,0,0,0,0,1,1
33,1,1,24,2,0,12,3,2,2,4,0,4,0,1,1,1,1,1,0,2,1
34,1,1,28,2,0,16,0,1,2,5,2,7,0,1,1,1,1,0,0,1,0
35,1,1,60,0,0,16,2,6,2,1,0,2,0,0,0,1,0,0,0,2,0
36,1,8,44,0,0,16,0,6,2,2,0,1,0,1,0,1,0,1,0,0,0
37,1,8,65,2,0,16,0,6,2,1,0,1,0,1,0,0,0,0,0,2,1
38,1,3,32,2,0,13,0,2,2,0,0,1,0,1,0,0,0,0,0,0,0
39,1,9,58,1,0,19,0,7,2,0,0,1,0,1,0,1,0,0,0,1,1
40,1,8,51,2,0,18,0,6,2,2,2,1,0,0,0,0,0,1,0,0,1
41,1,1,59,0,0,16,1,6,2,3,2,4,1,0,0,1,0,1,0,0,1
42,1,8,64,2,0,18,0,6,2,5,2,3,0,1,0,1,0,0,0,0,1
43,1,7,47,2,0,17,1,6,2,0,0,2,0,0,0,1,0,0,0,2,1
44,1,4,60,0,0,12,0,6,2,0,0,1,0,0,0,1,0,0,0,0,1
45,1,6,28,2,0,13,0,7,2,0,0,1,0,0,0,1,0,0,0,0,0
46,1,8,25,2,0,14,0,4,2,2,0,2,1,1,0,1,0,1,0,2,1
47,1,1,29,2,0,12,2,7,2,2,0,3,0,1,1,1,1,1,0,2,0
48,1,5,29,2,0,18,0,1,2,1,0,2,0,0,1,0,0,0,0,2,0
49,1,1,29,2,0,11,3,4,2,2,2,2,0,0,1,1,1,1,0,0,1
50,1,1,52,2,0,12,0,1,2,1,0,1,0,0,1,1,1,0,0,1,0
51,1,1,46,0,0,12,1,3,2,2,0,1,0,1,1,1,1,1,0,0,1
52,1,8,42,2,0,15,0,6,2,5,2,2,0,1,1,0,0,0,0,0,1
53,1,4,50,0,0,12,0,7,2,4,0,3,0,1,1,0,0,1,0,2,0
54,1,1,33,0,0,14,2,6,2,5,0,2,0,1,0,1,0,0,0,2,1
55,1,8,51,2,0,13,0,6,2,4,2,6,0,1,0,1,0,1,0,0,1
56,1,8,31,0,0,16,2,6,2,1,0,1,1,1,0,0,0,0,0,0,1
57,1,8,30,1,0,13,1,6,2,5,2,2,1,1,0,0,0,0,0,1,1
58,1,8,45,1,0,13,0,6,2,1,0,4,0,1,0,0,0,0,0,2,1
59,1,8,64,1,0,19,3,6,2,1,2,1,1,0,0,1,0,0,0,0,1
60,1,8,22,0,0,9,1,6,2,0,0,5,0,1,0,0,0,0,0,2,1
61,1,8,17,2,0,12,0,7,2,5,0,1,0,0,0,0,0,0,1,2,1
62,1,1,0,2,0,16,4,7,2,0,0,1,0,1,1,1,1,0,0,2,1
63,1,8,41,1,0,12,0,7,2,1,0,3,0,0,1,1,1,0,0,2,1
64,1,4,40,0,0,11,0,6,2,6,0,1,0,1,1,0,0,0,1,0,1
65,1,5,0,2,0,15,0,7,2,1,0,1,1,0,1,0,0,0,0,0,1
66,1,8,40,1,0,12,0,6,2,1,0,2,0,1,1,0,0,0,0,2,1
67,1,8,42,2,0,12,0,7,2,5,2,2,1,1,1,1,1,0,0,0,1
68,1,8,74,2,0,16,0,7,2,4,0,2,1,0,1,1,1,1,0,2,1
69,1,9,40,2,0,16,0,7,2,1,2,3,0,1,1,1,1,0,0,1,0
70,1,3,37,1,0,10,3,4,2,3,2,5,0,1,0,0,0,1,0,0,1
71,1,1,0,2,0,10,2,2,2,0,0,1,0,0,0,1,0,0,0,0,1
72,1,1,31,0,0,12,2,3,2,3,0,1,0,1,0,1,0,1,0,2,1
73,1,8,21,0,0,8,2,3,2,2,0,1,1,1,0,0,0,1,0,0,1
74,1,1,0,2,0,12,1,2,2,5,2,6,0,1,1,1,1,0,1,1,1
75,1,9,36,0,0,12,2,3,2,0,2,4,0,1,1,1,1,0,0,0,1
76,1,9,17,2,0,12,4,2,2,4,0,1,0,0,1,1,1,1,0,0,1
77,1,4,49,0,0,8,0,7,2,1,0,1,0,1,0,0,0,0,0,0,0
78,1,8,61,1,0,16,1,6,4,5,1,1,1,0,0,0,0,0,0,2,1
